Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.547E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.147E-01 
2.548E+04   1.723E+02  3.146E-01 
2.548E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.146E-01 
2.549E+04   1.723E+02  3.145E-01 
2.549E+04   1.723E+02  3.145E-01 
2.549E+04   1.723E+02  3.145E-01 
2.550E+04   1.723E+02  3.145E-01 
2.550E+04   1.723E+02  3.145E-01 
2.550E+04   1.723E+02  3.145E-01 
2.550E+04   1.723E+02  3.145E-01 
2.550E+04   1.723E+02  3.144E-01 
2.550E+04   1.723E+02  3.144E-01 
2.550E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.144E-01 
2.551E+04   1.723E+02  3.143E-01 
2.551E+04   1.723E+02  3.143E-01 
2.551E+04   1.723E+02  3.143E-01 
2.552E+04   1.723E+02  3.143E-01 
2.552E+04   1.723E+02  3.143E-01 
2.552E+04   1.723E+02  3.143E-01 
2.552E+04   1.723E+02  3.143E-01 
2.552E+04   1.723E+02  3.142E-01 
2.552E+04   1.723E+02  3.142E-01 
2.552E+04   1.723E+02  3.142E-01 
2.552E+04   1.723E+02  3.142E-01 
2.553E+04   1.723E+02  3.142E-01 
2.553E+04   1.723E+02  3.142E-01 
2.553E+04   1.723E+02  3.142E-01 
2.553E+04   1.723E+02  3.142E-01 
2.553E+04   1.723E+02  3.141E-01 
2.553E+04   1.723E+02  3.141E-01 
2.553E+04   1.723E+02  3.141E-01 
2.554E+04   1.723E+02  3.141E-01 
2.554E+04   1.723E+02  3.141E-01 
2.554E+04   1.723E+02  3.141E-01 
2.554E+04   1.723E+02  3.141E-01 
2.554E+04   1.723E+02  3.140E-01 
2.554E+04   1.723E+02  3.140E-01 
2.554E+04   1.723E+02  3.140E-01 
2.554E+04   1.723E+02  3.140E-01 
2.555E+04   1.723E+02  3.140E-01 
2.555E+04   1.723E+02  3.140E-01 
2.555E+04   1.723E+02  3.140E-01 
2.555E+04   1.723E+02  3.139E-01 
2.555E+04   1.723E+02  3.139E-01 
2.555E+04   1.723E+02  3.139E-01 
2.555E+04   1.723E+02  3.139E-01 
2.556E+04   1.723E+02  3.139E-01 
2.556E+04   1.723E+02  3.139E-01 
2.556E+04   1.723E+02  3.139E-01 
2.556E+04   1.723E+02  3.139E-01 
2.556E+04   1.723E+02  3.138E-01 
2.556E+04   1.723E+02  3.138E-01 
2.556E+04   1.723E+02  3.138E-01 
2.556E+04   1.723E+02  3.138E-01 
2.557E+04   1.723E+02  3.138E-01 
2.557E+04   1.723E+02  3.138E-01 
2.557E+04   1.723E+02  3.138E-01 
2.557E+04   1.723E+02  3.137E-01 
2.557E+04   1.723E+02  3.137E-01 
2.557E+04   1.723E+02  3.137E-01 
2.557E+04   1.723E+02  3.137E-01 
2.557E+04   1.723E+02  3.137E-01 
2.558E+04   1.723E+02  3.137E-01 
2.558E+04   1.723E+02  3.137E-01 
2.558E+04   1.723E+02  3.137E-01 
2.558E+04   1.723E+02  3.136E-01 
2.558E+04   1.723E+02  3.136E-01 
2.558E+04   1.723E+02  3.136E-01 
2.558E+04   1.723E+02  3.136E-01 
2.559E+04   1.723E+02  3.136E-01 
2.559E+04   1.723E+02  3.136E-01 
2.559E+04   1.723E+02  3.136E-01 
2.559E+04   1.723E+02  3.135E-01 
2.559E+04   1.723E+02  3.135E-01 
2.559E+04   1.723E+02  3.135E-01 
2.559E+04   1.723E+02  3.135E-01 
2.559E+04   1.723E+02  3.135E-01 
2.560E+04   1.723E+02  3.135E-01 
2.560E+04   1.723E+02  3.135E-01 
2.560E+04   1.723E+02  3.134E-01 
2.560E+04   1.723E+02  3.134E-01 
2.560E+04   1.723E+02  3.134E-01 
2.560E+04   1.723E+02  3.134E-01 
2.560E+04   1.723E+02  3.134E-01 
2.560E+04   1.723E+02  3.134E-01 
2.561E+04   1.723E+02  3.134E-01 
2.561E+04   1.723E+02  3.134E-01 
2.561E+04   1.723E+02  3.133E-01 
2.561E+04   1.723E+02  3.133E-01 
2.561E+04   1.723E+02  3.133E-01 
2.561E+04   1.723E+02  3.133E-01 
2.561E+04   1.723E+02  3.133E-01 
2.562E+04   1.723E+02  3.133E-01 
2.562E+04   1.723E+02  3.133E-01 
2.562E+04   1.723E+02  3.132E-01 
2.562E+04   1.723E+02  3.132E-01 
2.562E+04   1.723E+02  3.132E-01 
2.562E+04   1.723E+02  3.132E-01 
2.562E+04   1.723E+02  3.132E-01 
2.562E+04   1.723E+02  3.132E-01 
2.563E+04   1.723E+02  3.132E-01 
2.563E+04   1.723E+02  3.132E-01 
2.563E+04   1.723E+02  3.131E-01 
2.563E+04   1.723E+02  3.131E-01 
2.563E+04   1.723E+02  3.131E-01 
2.563E+04   1.723E+02  3.131E-01 
2.563E+04   1.723E+02  3.131E-01 
2.564E+04   1.723E+02  3.131E-01 
2.564E+04   1.723E+02  3.131E-01 
2.564E+04   1.723E+02  3.130E-01 
2.564E+04   1.723E+02  3.130E-01 
2.564E+04   1.723E+02  3.130E-01 
2.564E+04   1.723E+02  3.130E-01 
2.564E+04   1.723E+02  3.130E-01 
2.564E+04   1.723E+02  3.130E-01 
2.565E+04   1.723E+02  3.130E-01 
2.565E+04   1.723E+02  3.130E-01 
2.565E+04   1.723E+02  3.129E-01 
2.565E+04   1.723E+02  3.129E-01 
