NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:04:49 Filename: idff0102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
 channel data fit
  528  0.45539E+02  0.64961E+01
  529  0.45033E+02  0.64590E+01
  530  0.44543E+02  0.64231E+01
  531  0.44123E+02  0.63884E+01
  532  0.43801E+02  0.63547E+01
  533  0.43568E+02  0.63219E+01
  534  0.43394E+02  0.62900E+01
  535  0.43236E+02  0.62590E+01
  536  0.43061E+02  0.62290E+01
  537  0.42858E+02  0.61999E+01
  538  0.42650E+02  0.61720E+01
  539  0.42489E+02  0.61455E+01
  540  0.42446E+02  0.61205E+01
  541  0.42585E+02  0.60972E+01
  542  0.42942E+02  0.60759E+01
  543  0.43505E+02  0.60568E+01
  544  0.44212E+02  0.60402E+01
  545  0.44969E+02  0.60260E+01
  546  0.45672E+02  0.60144E+01
  547  0.46241E+02  0.60053E+01
  548  0.46631E+02  0.59986E+01
  549  0.46836E+02  0.59940E+01
  550  0.46880E+02  0.59912E+01
  551  0.46795E+02  0.59897E+01
  552  0.46609E+02  0.59890E+01
  553  0.46348E+02  0.59886E+01
  554  0.46035E+02  0.59880E+01
  555  0.45709E+02  0.59865E+01
  556  0.45418E+02  0.59838E+01
  557  0.45220E+02  0.59794E+01
  558  0.45158E+02  0.59729E+01
  559  0.45246E+02  0.59643E+01
  560  0.45448E+02  0.59534E+01
  561  0.45682E+02  0.59402E+01
  562  0.45834E+02  0.59249E+01
  563  0.45790E+02  0.59077E+01
  564  0.45476E+02  0.58888E+01
  565  0.44883E+02  0.58686E+01
  566  0.44082E+02  0.58475E+01
  567  0.43209E+02  0.58257E+01
  568  0.42440E+02  0.58038E+01
  569  0.41953E+02  0.57821E+01
  570  0.41886E+02  0.57616E+01
  571  0.42312E+02  0.57431E+01
  572  0.43218E+02  0.57284E+01
  573  0.44513E+02  0.57202E+01
  574  0.46042E+02  0.57231E+01
  575  0.47621E+02  0.57436E+01
  576  0.49075E+02  0.57915E+01
  577  0.50277E+02  0.58805E+01
  578  0.51168E+02  0.60279E+01
  579  0.51774E+02  0.62546E+01
  580  0.52195E+02  0.65839E+01
  581  0.52577E+02  0.70384E+01
  582  0.53066E+02  0.76371E+01
  583  0.53770E+02  0.83916E+01
  584  0.54715E+02  0.93020E+01
  585  0.55832E+02  0.10355E+02
  586  0.56965E+02  0.11524E+02
  587  0.57896E+02  0.12771E+02
  588  0.58399E+02  0.14058E+02
  589  0.58280E+02  0.15352E+02
  590  0.57548E+02  0.16644E+02
  591  0.56857E+02  0.17973E+02
  592  0.57186E+02  0.19445E+02
  593  0.59491E+02  0.21270E+02
  594  0.64419E+02  0.23804E+02
  595  0.71883E+02  0.27584E+02
  596  0.80908E+02  0.33364E+02
  597  0.90269E+02  0.42138E+02
  598  0.99952E+02  0.55122E+02
  599  0.11263E+03  0.73701E+02
  600  0.13218E+03  0.99325E+02
  601  0.16023E+03  0.13337E+03
  602  0.19543E+03  0.17697E+03
  603  0.23662E+03  0.23088E+03
  604  0.28493E+03  0.29532E+03
  605  0.34192E+03  0.36995E+03
  606  0.40723E+03  0.45384E+03
  607  0.47876E+03  0.54549E+03
  608  0.55536E+03  0.64291E+03
  609  0.63884E+03  0.74372E+03
  610  0.73093E+03  0.84521E+03
  611  0.82693E+03  0.94454E+03
  612  0.91605E+03  0.10389E+04
  613  0.99545E+03  0.11257E+04
  614  0.10716E+04  0.12028E+04
  615  0.11496E+04  0.12689E+04
  616  0.12279E+04  0.13234E+04
  617  0.13011E+04  0.13665E+04
  618  0.13634E+04  0.13992E+04
  619  0.14117E+04  0.14227E+04
  620  0.14468E+04  0.14389E+04
  621  0.14710E+04  0.14493E+04
  622  0.14877E+04  0.14555E+04
  623  0.15019E+04  0.14588E+04
  624  0.15170E+04  0.14602E+04
  625  0.15318E+04  0.14604E+04
  626  0.15420E+04  0.14600E+04
  627  0.15440E+04  0.14592E+04
  628  0.15382E+04  0.14583E+04
  629  0.15275E+04  0.14573E+04
  630  0.15154E+04  0.14563E+04
  631  0.15038E+04  0.14554E+04
  632  0.14921E+04  0.14545E+04
  633  0.14787E+04  0.14536E+04
  634  0.14613E+04  0.14526E+04
  635  0.14364E+04  0.14514E+04
  636  0.14017E+04  0.14498E+04
  637  0.13589E+04  0.14470E+04
  638  0.13128E+04  0.14421E+04
  639  0.12640E+04  0.14331E+04
  640  0.12073E+04  0.14172E+04
  641  0.11341E+04  0.13904E+04
  642  0.10438E+04  0.13481E+04
  643  0.94691E+03  0.12855E+04
  644  0.84979E+03  0.11992E+04
  645  0.75243E+03  0.10882E+04
  646  0.65511E+03  0.95529E+03
  647  0.55857E+03  0.80711E+03
  648  0.46416E+03  0.65331E+03
  649  0.37593E+03  0.50471E+03
  650  0.30036E+03  0.37110E+03
  651  0.24187E+03  0.25928E+03
  652  0.19901E+03  0.17220E+03
  653  0.16611E+03  0.10910E+03
  654  0.13786E+03  0.66547E+02
  655  0.11241E+03  0.39859E+02
  656  0.90670E+02  0.24297E+02
  657  0.74014E+02  0.15871E+02
  658  0.62676E+02  0.11647E+02
  659  0.55620E+02  0.97025E+01
  660  0.51398E+02  0.88994E+01
  661  0.48877E+02  0.86253E+01
  662  0.47340E+02  0.85793E+01
  663  0.46253E+02  0.86259E+01
  664  0.45217E+02  0.87094E+01
  665  0.44071E+02  0.88085E+01
  666  0.42915E+02  0.89176E+01
  667  0.41921E+02  0.90352E+01
  668  0.41147E+02  0.91614E+01
  669  0.40606E+02  0.92981E+01
  670  0.40303E+02  0.94472E+01
  671  0.40235E+02  0.96108E+01
  672  0.40389E+02  0.97911E+01
  673  0.40738E+02  0.99908E+01
  674  0.41228E+02  0.10212E+02
  675  0.41781E+02  0.10458E+02
  676  0.42296E+02  0.10730E+02
  677  0.42671E+02  0.11032E+02
  678  0.42824E+02  0.11365E+02
  679  0.42721E+02  0.11732E+02
  680  0.42386E+02  0.12136E+02
  681  0.41908E+02  0.12577E+02
  682  0.41421E+02  0.13059E+02
  683  0.41080E+02  0.13583E+02
  684  0.41031E+02  0.14151E+02
  685  0.41384E+02  0.14765E+02
  686  0.42199E+02  0.15428E+02
  687  0.43479E+02  0.16140E+02
  688  0.45178E+02  0.16905E+02
